,Nome,Preço,Descrição,Restaurante,link,Tempo Entrega,Frete,Distância,Reviews,Categoria
15,Combo Chips X Salada + Chips + Guarana Lata,"39,95",Combo Chips X Salada+ Chips Individual + Guarana Lata,Hamburguinho Higienópolis,https://www.ifood.com.br/delivery/sao-paulo-sp/hamburguinho-higienopolis-santa-cecilia/afeef31a-10d0-4e4e-b9cc-1fc0d13a690b,45-55 min,Grátis,1.5 km,4.8,Lanches
16,Hamburguer de abobora com quinoa,"31,99","Queijo prato, alface, tomate, rúcula, cebola roxa e nossa deliciosa maionese hamburguinho",Hamburguinho Higienópolis,https://www.ifood.com.br/delivery/sao-paulo-sp/hamburguinho-higienopolis-santa-cecilia/afeef31a-10d0-4e4e-b9cc-1fc0d13a690b,45-55 min,Grátis,1.5 km,4.8,Lanches
17,Hamburguer de palmito in natura,"28,99","Queijo prato, vinagrete e nossa deliciosa maionese hamburguinho",Hamburguinho Higienópolis,https://www.ifood.com.br/delivery/sao-paulo-sp/hamburguinho-higienopolis-santa-cecilia/afeef31a-10d0-4e4e-b9cc-1fc0d13a690b,45-55 min,Grátis,1.5 km,4.8,Lanches
18,Hamburguer de falafel,"29,99","Queijo prato, cebola frita, egg e nossa delicosa maionese hamburguinho",Hamburguinho Higienópolis,https://www.ifood.com.br/delivery/sao-paulo-sp/hamburguinho-higienopolis-santa-cecilia/afeef31a-10d0-4e4e-b9cc-1fc0d13a690b,45-55 min,Grátis,1.5 km,4.8,Lanches
19,X-salada vegetariano (sabor animal),"30,99","Queijo prato, alface, tomate e nossa deliciosa maonese hamburguinho",Hamburguinho Higienópolis,https://www.ifood.com.br/delivery/sao-paulo-sp/hamburguinho-higienopolis-santa-cecilia/afeef31a-10d0-4e4e-b9cc-1fc0d13a690b,45-55 min,Grátis,1.5 km,4.8,Lanches
20,Duplo x salada,"37,90","Pão, dois hamburgueres de 150 g cada (angus) ,queijo prato , alface ,tomate e maionese hamburguinho.",Hamburguinho Higienópolis,https://www.ifood.com.br/delivery/sao-paulo-sp/hamburguinho-higienopolis-santa-cecilia/afeef31a-10d0-4e4e-b9cc-1fc0d13a690b,45-55 min,Grátis,1.5 km,4.8,Lanches
21,X-maionese hamburguinho,"27,99","Pão, hambúrguer (angus), queijo prato e maionese hamburguinho.",Hamburguinho Higienópolis,https://www.ifood.com.br/delivery/sao-paulo-sp/hamburguinho-higienopolis-santa-cecilia/afeef31a-10d0-4e4e-b9cc-1fc0d13a690b,45-55 min,Grátis,1.5 km,4.8,Lanches
22,X-salada,"32,10","Pão, hambúrguer (angus) ,queijo prato, alface, tomate, maionese hamburguinho .",Hamburguinho Higienópolis,https://www.ifood.com.br/delivery/sao-paulo-sp/hamburguinho-higienopolis-santa-cecilia/afeef31a-10d0-4e4e-b9cc-1fc0d13a690b,45-55 min,Grátis,1.5 km,4.8,Lanches
23,X-salada picanha,"34,50","Pão,hamburguer de picanha 150 g,queijo prato, alface, tomate, maionese hamburguinho.",Hamburguinho Higienópolis,https://www.ifood.com.br/delivery/sao-paulo-sp/hamburguinho-higienopolis-santa-cecilia/afeef31a-10d0-4e4e-b9cc-1fc0d13a690b,45-55 min,Grátis,1.5 km,4.8,Lanches
24,X-salada bacon,"33,90","Pão, hambúrguer (angus), bacon ,queijo prato, alface, tomate, maionese hamburguinho.",Hamburguinho Higienópolis,https://www.ifood.com.br/delivery/sao-paulo-sp/hamburguinho-higienopolis-santa-cecilia/afeef31a-10d0-4e4e-b9cc-1fc0d13a690b,45-55 min,Grátis,1.5 km,4.8,Lanches
25,X-salada egg,"32,90","Pão, hambúrguer (angus),ovo,queijo prato, alface, tomate, maionese hamburguinho.",Hamburguinho Higienópolis,https://www.ifood.com.br/delivery/sao-paulo-sp/hamburguinho-higienopolis-santa-cecilia/afeef31a-10d0-4e4e-b9cc-1fc0d13a690b,45-55 min,Grátis,1.5 km,4.8,Lanches
26,X-salada filet de frango,"30,90","Pão, filet de frango, queijo prato, alface, tomate e maionese hamburguinho.",Hamburguinho Higienópolis,https://www.ifood.com.br/delivery/sao-paulo-sp/hamburguinho-higienopolis-santa-cecilia/afeef31a-10d0-4e4e-b9cc-1fc0d13a690b,45-55 min,Grátis,1.5 km,4.8,Lanches
27,X-salada calabresa,"30,90","Pão, hamburguer de calabresa, queijo prato ,alface, tomate e maionese hamburguinho.",Hamburguinho Higienópolis,https://www.ifood.com.br/delivery/sao-paulo-sp/hamburguinho-higienopolis-santa-cecilia/afeef31a-10d0-4e4e-b9cc-1fc0d13a690b,45-55 min,Grátis,1.5 km,4.8,Lanches
28,X-cebola frita maionese .,"29,26","Pão, hambúrguer de 150g (angus),queijo prato, cebola frita,maionese hamburguinho.",Hamburguinho Higienópolis,https://www.ifood.com.br/delivery/sao-paulo-sp/hamburguinho-higienopolis-santa-cecilia/afeef31a-10d0-4e4e-b9cc-1fc0d13a690b,45-55 min,Grátis,1.5 km,4.8,Lanches
29,X-burguer,"22,90","Pão, hambúrguer (angus) , queijo prato.",Hamburguinho Higienópolis,https://www.ifood.com.br/delivery/sao-paulo-sp/hamburguinho-higienopolis-santa-cecilia/afeef31a-10d0-4e4e-b9cc-1fc0d13a690b,45-55 min,Grátis,1.5 km,4.8,Lanches
30,X-salada filet mignon,"37,90","Pão, file mignon 200 g,queijo prato, alface, tomate, maionese hamburguinho.",Hamburguinho Higienópolis,https://www.ifood.com.br/delivery/sao-paulo-sp/hamburguinho-higienopolis-santa-cecilia/afeef31a-10d0-4e4e-b9cc-1fc0d13a690b,45-55 min,Grátis,1.5 km,4.8,Lanches
31,X- picanha,"27,90","Pão, hambúrguer de picanha 150 g e queijo prato.",Hamburguinho Higienópolis,https://www.ifood.com.br/delivery/sao-paulo-sp/hamburguinho-higienopolis-santa-cecilia/afeef31a-10d0-4e4e-b9cc-1fc0d13a690b,45-55 min,Grátis,1.5 km,4.8,Lanches
32,X salada vegetariano (sabor animal),"31,99","Pão, hambúrguer Vegetal com sabor animal , queijo prato, alface, tomate, maionese hamburguinho .",Hamburguinho Higienópolis,https://www.ifood.com.br/delivery/sao-paulo-sp/hamburguinho-higienopolis-santa-cecilia/afeef31a-10d0-4e4e-b9cc-1fc0d13a690b,45-55 min,Grátis,1.5 km,4.8,Lanches
33,X-bacon,"27,90","Pão, hambúrguer (angus), queijo prato e bacon.",Hamburguinho Higienópolis,https://www.ifood.com.br/delivery/sao-paulo-sp/hamburguinho-higienopolis-santa-cecilia/afeef31a-10d0-4e4e-b9cc-1fc0d13a690b,45-55 min,Grátis,1.5 km,4.8,Lanches
34,X-egg,"26,90","Pão, hambúrguer (angus), queijo prato e ovo.",Hamburguinho Higienópolis,https://www.ifood.com.br/delivery/sao-paulo-sp/hamburguinho-higienopolis-santa-cecilia/afeef31a-10d0-4e4e-b9cc-1fc0d13a690b,45-55 min,Grátis,1.5 km,4.8,Lanches
35,X-filet de frango,"25,30","Pão, filet de frango, queijo prato.",Hamburguinho Higienópolis,https://www.ifood.com.br/delivery/sao-paulo-sp/hamburguinho-higienopolis-santa-cecilia/afeef31a-10d0-4e4e-b9cc-1fc0d13a690b,45-55 min,Grátis,1.5 km,4.8,Lanches
36,X-calabresa,"24,30","Pão, hamburguer de calabresa e queijo prato.",Hamburguinho Higienópolis,https://www.ifood.com.br/delivery/sao-paulo-sp/hamburguinho-higienopolis-santa-cecilia/afeef31a-10d0-4e4e-b9cc-1fc0d13a690b,45-55 min,Grátis,1.5 km,4.8,Lanches
37,"Monte seu Hot Dog a partir de R$ 9,90","10,52",Aqui você monta do seu jeito! Com todos ingredientes favoritos !!,Hamburguinho Higienópolis,https://www.ifood.com.br/delivery/sao-paulo-sp/hamburguinho-higienopolis-santa-cecilia/afeef31a-10d0-4e4e-b9cc-1fc0d13a690b,45-55 min,Grátis,1.5 km,4.8,Lanches
38,Americano,"22,80","Presunto,queijo prato,alface , tomate ,ovo servido no pão de hambúrguer .",Hamburguinho Higienópolis,https://www.ifood.com.br/delivery/sao-paulo-sp/hamburguinho-higienopolis-santa-cecilia/afeef31a-10d0-4e4e-b9cc-1fc0d13a690b,45-55 min,Grátis,1.5 km,4.8,Lanches
39,Misto quente,"15,90","Presunto,queijo prato e pão",Hamburguinho Higienópolis,https://www.ifood.com.br/delivery/sao-paulo-sp/hamburguinho-higienopolis-santa-cecilia/afeef31a-10d0-4e4e-b9cc-1fc0d13a690b,45-55 min,Grátis,1.5 km,4.8,Lanches
40,Bauru,"20,30","Presunto,queijo prato,tomate e pão.",Hamburguinho Higienópolis,https://www.ifood.com.br/delivery/sao-paulo-sp/hamburguinho-higienopolis-santa-cecilia/afeef31a-10d0-4e4e-b9cc-1fc0d13a690b,45-55 min,Grátis,1.5 km,4.8,Lanches
41,Queijo quente,"17,90",Queijo quente derretido servido no pão de hambúrguer.,Hamburguinho Higienópolis,https://www.ifood.com.br/delivery/sao-paulo-sp/hamburguinho-higienopolis-santa-cecilia/afeef31a-10d0-4e4e-b9cc-1fc0d13a690b,45-55 min,Grátis,1.5 km,4.8,Lanches
42,Hot dog ( Simples ),"9,60",2 salsishas e pão.,Hamburguinho Higienópolis,https://www.ifood.com.br/delivery/sao-paulo-sp/hamburguinho-higienopolis-santa-cecilia/afeef31a-10d0-4e4e-b9cc-1fc0d13a690b,45-55 min,Grátis,1.5 km,4.8,Lanches
43,Batata Chips Caseira,"16,90",Chips de batata crocante e sequinha feita na hora .,Hamburguinho Higienópolis,https://www.ifood.com.br/delivery/sao-paulo-sp/hamburguinho-higienopolis-santa-cecilia/afeef31a-10d0-4e4e-b9cc-1fc0d13a690b,45-55 min,Grátis,1.5 km,4.8,Lanches
44,Batata palito,"20,99",Deliciosa porçao de Batata palito,Hamburguinho Higienópolis,https://www.ifood.com.br/delivery/sao-paulo-sp/hamburguinho-higienopolis-santa-cecilia/afeef31a-10d0-4e4e-b9cc-1fc0d13a690b,45-55 min,Grátis,1.5 km,4.8,Lanches
45,Batata rústica,"20,90",Batata rustica de produção hamburguinho,Hamburguinho Higienópolis,https://www.ifood.com.br/delivery/sao-paulo-sp/hamburguinho-higienopolis-santa-cecilia/afeef31a-10d0-4e4e-b9cc-1fc0d13a690b,45-55 min,Grátis,1.5 km,4.8,Lanches
46,Maionese hamburguinho,"5,99",Famosa e inconfundível maionese hamburguinho . 100ml,Hamburguinho Higienópolis,https://www.ifood.com.br/delivery/sao-paulo-sp/hamburguinho-higienopolis-santa-cecilia/afeef31a-10d0-4e4e-b9cc-1fc0d13a690b,45-55 min,Grátis,1.5 km,4.8,Lanches
47,Nuggets,"19,83","Delicioso,Nuggets,de frango,12, unidades",Hamburguinho Higienópolis,https://www.ifood.com.br/delivery/sao-paulo-sp/hamburguinho-higienopolis-santa-cecilia/afeef31a-10d0-4e4e-b9cc-1fc0d13a690b,45-55 min,Grátis,1.5 km,4.8,Lanches
48,Porção Onion Rigns,"27,90",Deliciosa porção de Onion Rigng sequinha e crocante .,Hamburguinho Higienópolis,https://www.ifood.com.br/delivery/sao-paulo-sp/hamburguinho-higienopolis-santa-cecilia/afeef31a-10d0-4e4e-b9cc-1fc0d13a690b,45-55 min,Grátis,1.5 km,4.8,Lanches
49,Beirute Filet mignon,"56,90","Pão sírio , filet mignon ,queijo prato,alface ,tomate e maionese hamburguinho.",Hamburguinho Higienópolis,https://www.ifood.com.br/delivery/sao-paulo-sp/hamburguinho-higienopolis-santa-cecilia/afeef31a-10d0-4e4e-b9cc-1fc0d13a690b,45-55 min,Grátis,1.5 km,4.8,Lanches
50,Beirute Rosbife,"47,90","Pão sírio, rosbife,queijo prato ,alface tomate e maionese hamburguinho.",Hamburguinho Higienópolis,https://www.ifood.com.br/delivery/sao-paulo-sp/hamburguinho-higienopolis-santa-cecilia/afeef31a-10d0-4e4e-b9cc-1fc0d13a690b,45-55 min,Grátis,1.5 km,4.8,Lanches
51,Beirute Filet de frango,"43,90","Pão sírio ,filet de frango, queijo prato ,alface, tomate e maionese hamburguinho.",Hamburguinho Higienópolis,https://www.ifood.com.br/delivery/sao-paulo-sp/hamburguinho-higienopolis-santa-cecilia/afeef31a-10d0-4e4e-b9cc-1fc0d13a690b,45-55 min,Grátis,1.5 km,4.8,Lanches
52,Beirute Atum,"40,90","Pão sírio ,atum solido, queijo prato,alface ,tomate e maionese hambuguinho,",Hamburguinho Higienópolis,https://www.ifood.com.br/delivery/sao-paulo-sp/hamburguinho-higienopolis-santa-cecilia/afeef31a-10d0-4e4e-b9cc-1fc0d13a690b,45-55 min,Grátis,1.5 km,4.8,Lanches
53,Aguas,"4,90",500 ml,Hamburguinho Higienópolis,https://www.ifood.com.br/delivery/sao-paulo-sp/hamburguinho-higienopolis-santa-cecilia/afeef31a-10d0-4e4e-b9cc-1fc0d13a690b,45-55 min,Grátis,1.5 km,4.8,Lanches
54,Guaraná 600 ml,"9,99",,Hamburguinho Higienópolis,https://www.ifood.com.br/delivery/sao-paulo-sp/hamburguinho-higienopolis-santa-cecilia/afeef31a-10d0-4e4e-b9cc-1fc0d13a690b,45-55 min,Grátis,1.5 km,4.8,Lanches
55,Refrigerantes lata,"6,99",,Hamburguinho Higienópolis,https://www.ifood.com.br/delivery/sao-paulo-sp/hamburguinho-higienopolis-santa-cecilia/afeef31a-10d0-4e4e-b9cc-1fc0d13a690b,45-55 min,Grátis,1.5 km,4.8,Lanches
56,Suco de polpa,"9,90",Sucos de polpa Demarchi,Hamburguinho Higienópolis,https://www.ifood.com.br/delivery/sao-paulo-sp/hamburguinho-higienopolis-santa-cecilia/afeef31a-10d0-4e4e-b9cc-1fc0d13a690b,45-55 min,Grátis,1.5 km,4.8,Lanches
57,Sprite Lemon Fresh 510ml,"7,50",Garrafa 510ml,Hamburguinho Higienópolis,https://www.ifood.com.br/delivery/sao-paulo-sp/hamburguinho-higienopolis-santa-cecilia/afeef31a-10d0-4e4e-b9cc-1fc0d13a690b,45-55 min,Grátis,1.5 km,4.8,Lanches
58,Suco natural laranja,"8,90","Suco natural laranja,embalado em garrafinha lacrada para chegar perfeito em sua casa .300 Ml",Hamburguinho Higienópolis,https://www.ifood.com.br/delivery/sao-paulo-sp/hamburguinho-higienopolis-santa-cecilia/afeef31a-10d0-4e4e-b9cc-1fc0d13a690b,45-55 min,Grátis,1.5 km,4.8,Lanches
59,Suco de açai,"14,90",Açai frooty Original,Hamburguinho Higienópolis,https://www.ifood.com.br/delivery/sao-paulo-sp/hamburguinho-higienopolis-santa-cecilia/afeef31a-10d0-4e4e-b9cc-1fc0d13a690b,45-55 min,Grátis,1.5 km,4.8,Lanches
60,Cerveja Budweiser King Of Beers Long Neck 330ml,"9,50",Produto para maiores de 18 anos,Hamburguinho Higienópolis,https://www.ifood.com.br/delivery/sao-paulo-sp/hamburguinho-higienopolis-santa-cecilia/afeef31a-10d0-4e4e-b9cc-1fc0d13a690b,45-55 min,Grátis,1.5 km,4.8,Lanches
61,Cerveja Heineken Long Neck - Pack com 6 Unidades,"10,90",Produto para maiores de 18 anos,Hamburguinho Higienópolis,https://www.ifood.com.br/delivery/sao-paulo-sp/hamburguinho-higienopolis-santa-cecilia/afeef31a-10d0-4e4e-b9cc-1fc0d13a690b,45-55 min,Grátis,1.5 km,4.8,Lanches
62,Milk shake Nutella 400 ml,"25,99",Sorvete artesanal batido com leite Ninho e Nutella.,Hamburguinho Higienópolis,https://www.ifood.com.br/delivery/sao-paulo-sp/hamburguinho-higienopolis-santa-cecilia/afeef31a-10d0-4e4e-b9cc-1fc0d13a690b,45-55 min,Grátis,1.5 km,4.8,Lanches
63,Milk shake chocolate 400 ml,"23,90",Sorvete de chocolate artesanal batido com leite Ninho e cobertura de chocolate .,Hamburguinho Higienópolis,https://www.ifood.com.br/delivery/sao-paulo-sp/hamburguinho-higienopolis-santa-cecilia/afeef31a-10d0-4e4e-b9cc-1fc0d13a690b,45-55 min,Grátis,1.5 km,4.8,Lanches
64,Milk shake coco 400 ml,"22,90","Delicioso sorvete artesanal de coco, batido com leite Ninho , cobertura de chocolate e coco ralado.",Hamburguinho Higienópolis,https://www.ifood.com.br/delivery/sao-paulo-sp/hamburguinho-higienopolis-santa-cecilia/afeef31a-10d0-4e4e-b9cc-1fc0d13a690b,45-55 min,Grátis,1.5 km,4.8,Lanches
65,Milk shake creme 400 ml,"23,90",Delicioso sorvete de creme batido com leite Ninho e cobertura de caramelo.,Hamburguinho Higienópolis,https://www.ifood.com.br/delivery/sao-paulo-sp/hamburguinho-higienopolis-santa-cecilia/afeef31a-10d0-4e4e-b9cc-1fc0d13a690b,45-55 min,Grátis,1.5 km,4.8,Lanches
66,Milk shake flocos 400 ml,"22,90","Sorvete artesanal de flocos, batido com leite Ninho e cobertura de chocolate .",Hamburguinho Higienópolis,https://www.ifood.com.br/delivery/sao-paulo-sp/hamburguinho-higienopolis-santa-cecilia/afeef31a-10d0-4e4e-b9cc-1fc0d13a690b,45-55 min,Grátis,1.5 km,4.8,Lanches
67,Milk shake morango 400 ml,"22,90","Sorvete artesanal de morango , batido com leite Ninho e cobertura de morango .",Hamburguinho Higienópolis,https://www.ifood.com.br/delivery/sao-paulo-sp/hamburguinho-higienopolis-santa-cecilia/afeef31a-10d0-4e4e-b9cc-1fc0d13a690b,45-55 min,Grátis,1.5 km,4.8,Lanches
68,Milk shake ovo maltine 400 ml,"23,90","Sorvete artesanal de creme, batido com ovo maltine e leite Ninho e cobertura de chocolate.",Hamburguinho Higienópolis,https://www.ifood.com.br/delivery/sao-paulo-sp/hamburguinho-higienopolis-santa-cecilia/afeef31a-10d0-4e4e-b9cc-1fc0d13a690b,45-55 min,Grátis,1.5 km,4.8,Lanches
69,Novo Skeik Hamburguinho,"27,72","Delicioso sorvete artesanal de Leite Ninho , batido com Nutella . 400 ml",Hamburguinho Higienópolis,https://www.ifood.com.br/delivery/sao-paulo-sp/hamburguinho-higienopolis-santa-cecilia/afeef31a-10d0-4e4e-b9cc-1fc0d13a690b,45-55 min,Grátis,1.5 km,4.8,Lanches
70,Milk shake doce de leite argentino 400 ml,"23,90",Sorvete artesanal batido com leite Ninho e doce de leite argentino,Hamburguinho Higienópolis,https://www.ifood.com.br/delivery/sao-paulo-sp/hamburguinho-higienopolis-santa-cecilia/afeef31a-10d0-4e4e-b9cc-1fc0d13a690b,45-55 min,Grátis,1.5 km,4.8,Lanches
71,"14 Mini, Churros Recheados Com Doce De Leite, +50ml De Doce de Leite","19,75",,Hamburguinho Higienópolis,https://www.ifood.com.br/delivery/sao-paulo-sp/hamburguinho-higienopolis-santa-cecilia/afeef31a-10d0-4e4e-b9cc-1fc0d13a690b,45-55 min,Grátis,1.5 km,4.8,Lanches
72,Brownie,"13,90",Delicioso brownie caseiro + sorvete ( em embalagem separada 100 ml ),Hamburguinho Higienópolis,https://www.ifood.com.br/delivery/sao-paulo-sp/hamburguinho-higienopolis-santa-cecilia/afeef31a-10d0-4e4e-b9cc-1fc0d13a690b,45-55 min,Grátis,1.5 km,4.8,Lanches
73,Donuts Nutella,"10,70",,Hamburguinho Higienópolis,https://www.ifood.com.br/delivery/sao-paulo-sp/hamburguinho-higienopolis-santa-cecilia/afeef31a-10d0-4e4e-b9cc-1fc0d13a690b,45-55 min,Grátis,1.5 km,4.8,Lanches
74,Donuts doce de leite,"9,99",,Hamburguinho Higienópolis,https://www.ifood.com.br/delivery/sao-paulo-sp/hamburguinho-higienopolis-santa-cecilia/afeef31a-10d0-4e4e-b9cc-1fc0d13a690b,45-55 min,Grátis,1.5 km,4.8,Lanches
75,Donuts creme,"9,50",,Hamburguinho Higienópolis,https://www.ifood.com.br/delivery/sao-paulo-sp/hamburguinho-higienopolis-santa-cecilia/afeef31a-10d0-4e4e-b9cc-1fc0d13a690b,45-55 min,Grátis,1.5 km,4.8,Lanches
76,Donuts Lacta,"9,50",,Hamburguinho Higienópolis,https://www.ifood.com.br/delivery/sao-paulo-sp/hamburguinho-higienopolis-santa-cecilia/afeef31a-10d0-4e4e-b9cc-1fc0d13a690b,45-55 min,Grátis,1.5 km,4.8,Lanches
